partition,version,n,peak_gflops,threads_peak
cclake,2,500,6.05,16
cclake,2,1000,15.38,16
cclake,2,2000,31.03,32
cclake,2,4000,36.68,56
cclake,2,8000,6.56,56
icelake,0,500,1.0,1
icelake,0,1000,0.73,1
icelake,0,2000,0.52,1
icelake,0,4000,0.32,1
icelake,0,8000,0.15,1
icelake,1,500,3.79,1
icelake,1,1000,2.45,1
icelake,1,2000,0.85,1
icelake,1,4000,0.73,1
icelake,1,8000,0.74,1
icelake,2,500,11.39,16
icelake,2,1000,24.19,16
icelake,2,2000,50.67,48
icelake,2,4000,68.45,64
icelake,2,8000,13.09,76
icelake,3,500,13.36,8
icelake,3,1000,28.44,16
icelake,3,2000,59.97,64
icelake,3,4000,101.48,76
icelake,3,8000,13.32,76
unknown,2,2000,48.57,48
unknown,2,4000,72.03,64
unknown,3,2000,65.38,32
unknown,3,4000,90.48,64
