# cholesky_benchmark  CHOLESKY_VERSION=2
# hostname=cpu-p-134
# max_threads=56
# sizes=2000
# threads=1,4,8,16,24,28,32,40,48,56
# repeats=5
version,n,threads,run,time_s,gflops,hostname
2,2000,1,0,0.933519497,2.85657,cpu-p-134
2,2000,1,1,0.931300186,2.86338,cpu-p-134
2,2000,1,2,0.932488258,2.85973,cpu-p-134
2,2000,1,3,0.930418338,2.86609,cpu-p-134
2,2000,1,4,0.929933797,2.86759,cpu-p-134
2,2000,1,-1,0.931300186,2.86338,cpu-p-134
2,2000,4,0,0.318625839,8.36927,cpu-p-134
2,2000,4,1,0.319851518,8.3372,cpu-p-134
2,2000,4,2,0.318675223,8.36798,cpu-p-134
2,2000,4,3,0.318685391,8.36771,cpu-p-134
2,2000,4,4,0.319808444,8.33832,cpu-p-134
2,2000,4,-1,0.318685391,8.36771,cpu-p-134
2,2000,8,0,0.174446777,15.2864,cpu-p-134
2,2000,8,1,0.174853775,15.2508,cpu-p-134
2,2000,8,2,0.174279667,15.3011,cpu-p-134
2,2000,8,3,0.176412372,15.1161,cpu-p-134
2,2000,8,4,0.175348332,15.2078,cpu-p-134
2,2000,8,-1,0.174853775,15.2508,cpu-p-134
2,2000,16,0,0.106704757,24.9911,cpu-p-134
2,2000,16,1,0.1088025,24.5092,cpu-p-134
2,2000,16,2,0.107394849,24.8305,cpu-p-134
2,2000,16,3,0.108173086,24.6518,cpu-p-134
2,2000,16,4,0.107624075,24.7776,cpu-p-134
2,2000,16,-1,0.107624075,24.7776,cpu-p-134
2,2000,24,0,0.091467787,29.1542,cpu-p-134
2,2000,24,1,0.087785099,30.3772,cpu-p-134
2,2000,24,2,0.089230089,29.8853,cpu-p-134
2,2000,24,3,0.086611752,30.7887,cpu-p-134
2,2000,24,4,0.086971063,30.6615,cpu-p-134
2,2000,24,-1,0.087785099,30.3772,cpu-p-134
2,2000,28,0,0.092829784,28.7264,cpu-p-134
2,2000,28,1,0.088535135,30.1199,cpu-p-134
2,2000,28,2,0.091080576,29.2781,cpu-p-134
2,2000,28,3,0.090679132,29.4077,cpu-p-134
2,2000,28,4,0.088758973,30.0439,cpu-p-134
2,2000,28,-1,0.090679132,29.4077,cpu-p-134
2,2000,32,0,0.090854939,29.3508,cpu-p-134
2,2000,32,1,0.086299807,30.9,cpu-p-134
2,2000,32,2,0.090272811,29.5401,cpu-p-134
2,2000,32,3,0.086336576,30.8869,cpu-p-134
2,2000,32,4,0.086011109,31.0037,cpu-p-134
2,2000,32,-1,0.086336576,30.8869,cpu-p-134
2,2000,40,0,0.091942682,29.0036,cpu-p-134
2,2000,40,1,0.092886687,28.7088,cpu-p-134
2,2000,40,2,0.091291068,29.2106,cpu-p-134
2,2000,40,3,0.096418493,27.6572,cpu-p-134
2,2000,40,4,0.097875841,27.2454,cpu-p-134
2,2000,40,-1,0.092886687,28.7088,cpu-p-134
2,2000,48,0,0.13045336,20.4415,cpu-p-134
2,2000,48,1,0.12445142,21.4274,cpu-p-134
2,2000,48,2,0.131457447,20.2854,cpu-p-134
2,2000,48,3,0.128819113,20.7009,cpu-p-134
2,2000,48,4,0.125601455,21.2312,cpu-p-134
2,2000,48,-1,0.128819113,20.7009,cpu-p-134
2,2000,56,0,0.116624762,22.8654,cpu-p-134
2,2000,56,1,0.115935856,23.0012,cpu-p-134
2,2000,56,2,0.119929008,22.2354,cpu-p-134
2,2000,56,3,0.1124225,23.72,cpu-p-134
2,2000,56,4,0.118306993,22.5402,cpu-p-134
2,2000,56,-1,0.116624762,22.8654,cpu-p-134
