# cholesky_benchmark  CHOLESKY_VERSION=2
# hostname=cpu-p-134
# max_threads=56
# sizes=2000
# threads=1,4,8,16,24,28,32,40,48,56
# repeats=5
version,n,threads,run,time_s,gflops,hostname
2,2000,1,0,0.917303065,2.90707,cpu-p-134
2,2000,1,1,0.917215434,2.90735,cpu-p-134
2,2000,1,2,0.91644695,2.90979,cpu-p-134
2,2000,1,3,0.918288157,2.90395,cpu-p-134
2,2000,1,4,0.916494001,2.90964,cpu-p-134
2,2000,1,-1,0.917215434,2.90735,cpu-p-134
2,2000,4,0,0.253605557,10.515,cpu-p-134
2,2000,4,1,0.253715866,10.5104,cpu-p-134
2,2000,4,2,0.253409252,10.5232,cpu-p-134
2,2000,4,3,0.25378037,10.5078,cpu-p-134
2,2000,4,4,0.253558029,10.517,cpu-p-134
2,2000,4,-1,0.253605557,10.515,cpu-p-134
2,2000,8,0,0.173458838,15.3735,cpu-p-134
2,2000,8,1,0.172682429,15.4426,cpu-p-134
2,2000,8,2,0.173749011,15.3478,cpu-p-134
2,2000,8,3,0.175152005,15.2249,cpu-p-134
2,2000,8,4,0.172696326,15.4414,cpu-p-134
2,2000,8,-1,0.173458838,15.3735,cpu-p-134
2,2000,16,0,0.130931066,20.367,cpu-p-134
2,2000,16,1,0.124487077,21.4212,cpu-p-134
2,2000,16,2,0.124930729,21.3452,cpu-p-134
2,2000,16,3,0.124500102,21.419,cpu-p-134
2,2000,16,4,0.125027275,21.3287,cpu-p-134
2,2000,16,-1,0.124930729,21.3452,cpu-p-134
2,2000,24,0,0.116746256,22.8416,cpu-p-134
2,2000,24,1,0.117515106,22.6921,cpu-p-134
2,2000,24,2,0.118319628,22.5378,cpu-p-134
2,2000,24,3,0.117586173,22.6784,cpu-p-134
2,2000,24,4,0.117254775,22.7425,cpu-p-134
2,2000,24,-1,0.117515106,22.6921,cpu-p-134
2,2000,28,0,0.086408648,30.8611,cpu-p-134
2,2000,28,1,0.086013364,31.0029,cpu-p-134
2,2000,28,2,0.086368832,30.8753,cpu-p-134
2,2000,28,3,0.086314888,30.8946,cpu-p-134
2,2000,28,4,0.086021329,31.0001,cpu-p-134
2,2000,28,-1,0.086314888,30.8946,cpu-p-134
2,2000,32,0,0.111285604,23.9624,cpu-p-134
2,2000,32,1,0.112071204,23.7944,cpu-p-134
2,2000,32,2,0.111090034,24.0046,cpu-p-134
2,2000,32,3,0.119766408,22.2656,cpu-p-134
2,2000,32,4,0.111798715,23.8524,cpu-p-134
2,2000,32,-1,0.111798715,23.8524,cpu-p-134
2,2000,40,0,0.140025678,19.0441,cpu-p-134
2,2000,40,1,0.139684298,19.0907,cpu-p-134
2,2000,40,2,0.147122451,18.1255,cpu-p-134
2,2000,40,3,0.140246321,19.0142,cpu-p-134
2,2000,40,4,0.139733365,19.084,cpu-p-134
2,2000,40,-1,0.140025678,19.0441,cpu-p-134
2,2000,48,0,0.173138134,15.402,cpu-p-134
2,2000,48,1,0.178044649,14.9775,cpu-p-134
2,2000,48,2,0.175926293,15.1579,cpu-p-134
2,2000,48,3,0.183424703,14.5382,cpu-p-134
2,2000,48,4,0.179418249,14.8629,cpu-p-134
2,2000,48,-1,0.178044649,14.9775,cpu-p-134
2,2000,56,0,0.212677932,12.5385,cpu-p-134
2,2000,56,1,0.219437133,12.1523,cpu-p-134
2,2000,56,2,0.216073288,12.3415,cpu-p-134
2,2000,56,3,0.205866697,12.9534,cpu-p-134
2,2000,56,4,0.211152503,12.6291,cpu-p-134
2,2000,56,-1,0.212677932,12.5385,cpu-p-134
