# cholesky_benchmark  CHOLESKY_VERSION=2
# hostname=cpu-q-536
# max_threads=76
# sizes=500,1000,2000,4000,8000
# threads=1,2,4,8,16,32,48,64,76
# repeats=3
version,n,threads,run,time_s,gflops,hostname
2,500,1,0,0.011045036,3.77243,cpu-q-536
2,500,1,1,0.011040026,3.77415,cpu-q-536
2,500,1,2,0.011090623,3.75693,cpu-q-536
2,500,1,-1,0.011045036,3.77243,cpu-q-536
2,500,2,0,0.008600181,4.84486,cpu-q-536
2,500,2,1,0.009036941,4.6107,cpu-q-536
2,500,2,2,0.009295578,4.48242,cpu-q-536
2,500,2,-1,0.009036941,4.6107,cpu-q-536
2,500,4,0,0.005627469,7.40416,cpu-q-536
2,500,4,1,0.005622133,7.41118,cpu-q-536
2,500,4,2,0.005651694,7.37242,cpu-q-536
2,500,4,-1,0.005627469,7.40416,cpu-q-536
2,500,8,0,0.003964542,10.5098,cpu-q-536
2,500,8,1,0.003907659,10.6628,cpu-q-536
2,500,8,2,0.003894613,10.6985,cpu-q-536
2,500,8,-1,0.003907659,10.6628,cpu-q-536
2,500,16,0,0.00365928,11.3866,cpu-q-536
2,500,16,1,0.003664152,11.3714,cpu-q-536
2,500,16,2,0.003598932,11.5775,cpu-q-536
2,500,16,-1,0.00365928,11.3866,cpu-q-536
2,500,32,0,0.004679025,8.90499,cpu-q-536
2,500,32,1,0.00466836,8.92533,cpu-q-536
2,500,32,2,0.00468792,8.88809,cpu-q-536
2,500,32,-1,0.004679025,8.90499,cpu-q-536
2,500,48,0,0.00613849,6.78777,cpu-q-536
2,500,48,1,0.006185929,6.73572,cpu-q-536
2,500,48,2,0.00615143,6.77349,cpu-q-536
2,500,48,-1,0.00615143,6.77349,cpu-q-536
2,500,64,0,0.009242188,4.50831,cpu-q-536
2,500,64,1,0.009277263,4.49127,cpu-q-536
2,500,64,2,0.009298492,4.48101,cpu-q-536
2,500,64,-1,0.009277263,4.49127,cpu-q-536
2,500,76,0,0.012987239,3.20828,cpu-q-536
2,500,76,1,0.012945679,3.21858,cpu-q-536
2,500,76,2,0.012860309,3.23994,cpu-q-536
2,500,76,-1,0.012945679,3.21858,cpu-q-536
2,1000,1,0,0.109997487,3.03037,cpu-q-536
2,1000,1,1,0.110004439,3.03018,cpu-q-536
2,1000,1,2,0.110039144,3.02923,cpu-q-536
2,1000,1,-1,0.110004439,3.03018,cpu-q-536
2,1000,2,0,0.064486956,5.169,cpu-q-536
2,1000,2,1,0.064921308,5.13442,cpu-q-536
2,1000,2,2,0.06463565,5.15711,cpu-q-536
2,1000,2,-1,0.06463565,5.15711,cpu-q-536
2,1000,4,0,0.033209723,10.0372,cpu-q-536
2,1000,4,1,0.033530833,9.9411,cpu-q-536
2,1000,4,2,0.033513887,9.94613,cpu-q-536
2,1000,4,-1,0.033513887,9.94613,cpu-q-536
2,1000,8,0,0.019529264,17.0684,cpu-q-536
2,1000,8,1,0.019696985,16.9231,cpu-q-536
2,1000,8,2,0.019217389,17.3454,cpu-q-536
2,1000,8,-1,0.019529264,17.0684,cpu-q-536
2,1000,16,0,0.0137797,24.1902,cpu-q-536
2,1000,16,1,0.013858102,24.0533,cpu-q-536
2,1000,16,2,0.013568921,24.5659,cpu-q-536
2,1000,16,-1,0.0137797,24.1902,cpu-q-536
2,1000,32,0,0.015003759,22.2167,cpu-q-536
2,1000,32,1,0.014913017,22.3518,cpu-q-536
2,1000,32,2,0.014845419,22.4536,cpu-q-536
2,1000,32,-1,0.014913017,22.3518,cpu-q-536
2,1000,48,0,0.018036587,18.481,cpu-q-536
2,1000,48,1,0.018032829,18.4848,cpu-q-536
2,1000,48,2,0.017835995,18.6888,cpu-q-536
2,1000,48,-1,0.018032829,18.4848,cpu-q-536
2,1000,64,0,0.018553327,17.9662,cpu-q-536
2,1000,64,1,0.01851957,17.999,cpu-q-536
2,1000,64,2,0.018558497,17.9612,cpu-q-536
2,1000,64,-1,0.018553327,17.9662,cpu-q-536
2,1000,76,0,0.023908836,13.9418,cpu-q-536
2,1000,76,1,0.023791907,14.0104,cpu-q-536
2,1000,76,2,0.024105782,13.8279,cpu-q-536
2,1000,76,-1,0.023908836,13.9418,cpu-q-536
2,2000,1,0,0.864722219,3.08384,cpu-q-536
2,2000,1,1,0.861657908,3.09481,cpu-q-536
2,2000,1,2,0.861776993,3.09438,cpu-q-536
2,2000,1,-1,0.861776993,3.09438,cpu-q-536
2,2000,2,0,0.465325029,5.73076,cpu-q-536
2,2000,2,1,0.464927674,5.73566,cpu-q-536
2,2000,2,2,0.464515746,5.74075,cpu-q-536
2,2000,2,-1,0.464927674,5.73566,cpu-q-536
2,2000,4,0,0.244652064,10.8998,cpu-q-536
2,2000,4,1,0.243651565,10.9446,cpu-q-536
2,2000,4,2,0.244051638,10.9266,cpu-q-536
2,2000,4,-1,0.244051638,10.9266,cpu-q-536
2,2000,8,0,0.136254851,19.5712,cpu-q-536
2,2000,8,1,0.137722662,19.3626,cpu-q-536
2,2000,8,2,0.13673015,19.5031,cpu-q-536
2,2000,8,-1,0.13673015,19.5031,cpu-q-536
2,2000,16,0,0.085403667,31.2243,cpu-q-536
2,2000,16,1,0.085735836,31.1033,cpu-q-536
2,2000,16,2,0.08752383,30.4679,cpu-q-536
2,2000,16,-1,0.085735836,31.1033,cpu-q-536
2,2000,32,0,0.057229611,46.5959,cpu-q-536
2,2000,32,1,0.057601525,46.2951,cpu-q-536
2,2000,32,2,0.058575453,45.5253,cpu-q-536
2,2000,32,-1,0.057601525,46.2951,cpu-q-536
2,2000,48,0,0.052629985,50.6682,cpu-q-536
2,2000,48,1,0.052195339,51.0901,cpu-q-536
2,2000,48,2,0.052773988,50.5299,cpu-q-536
2,2000,48,-1,0.052629985,50.6682,cpu-q-536
2,2000,64,0,0.060388281,44.1587,cpu-q-536
2,2000,64,1,0.060026849,44.4246,cpu-q-536
2,2000,64,2,0.05995722,44.4762,cpu-q-536
2,2000,64,-1,0.060026849,44.4246,cpu-q-536
2,2000,76,0,0.074614922,35.7391,cpu-q-536
2,2000,76,1,0.074708539,35.6943,cpu-q-536
2,2000,76,2,0.074484327,35.8017,cpu-q-536
2,2000,76,-1,0.074614922,35.7391,cpu-q-536
2,4000,1,0,11.5368683,1.84914,cpu-q-536
2,4000,1,1,11.5755718,1.84296,cpu-q-536
2,4000,1,2,11.5629646,1.84497,cpu-q-536
2,4000,1,-1,11.5629646,1.84497,cpu-q-536
2,4000,2,0,4.54325964,4.6956,cpu-q-536
2,4000,2,1,4.54043057,4.69853,cpu-q-536
2,4000,2,2,4.53352165,4.70569,cpu-q-536
2,4000,2,-1,4.54043057,4.69853,cpu-q-536
2,4000,4,0,2.33088815,9.15245,cpu-q-536
2,4000,4,1,2.32989976,9.15633,cpu-q-536
2,4000,4,2,2.33337742,9.14268,cpu-q-536
2,4000,4,-1,2.33088815,9.15245,cpu-q-536
2,4000,8,0,1.29969207,16.4141,cpu-q-536
2,4000,8,1,1.29861595,16.4277,cpu-q-536
2,4000,8,2,1.29816622,16.4334,cpu-q-536
2,4000,8,-1,1.29861595,16.4277,cpu-q-536
2,4000,16,0,0.771286306,27.6594,cpu-q-536
2,4000,16,1,0.769842547,27.7113,cpu-q-536
2,4000,16,2,0.770148199,27.7003,cpu-q-536
2,4000,16,-1,0.770148199,27.7003,cpu-q-536
2,4000,32,0,0.458282004,46.5507,cpu-q-536
2,4000,32,1,0.45948489,46.4288,cpu-q-536
2,4000,32,2,0.459412335,46.4361,cpu-q-536
