# cholesky_benchmark  CHOLESKY_VERSION=0
# hostname=cpu-q-225
# max_threads=1
# sizes=500,1000,2000,4000
# threads=1
# repeats=3
version,n,threads,run,time_s,gflops,hostname
0,500,1,0,0.041577453,1.00215,cpu-q-225
0,500,1,1,0.04156963,1.00233,cpu-q-225
0,500,1,2,0.041546552,1.00289,cpu-q-225
0,500,1,-1,0.04156963,1.00233,cpu-q-225
0,1000,1,0,0.458211674,0.727466,cpu-q-225
0,1000,1,1,0.458217372,0.727457,cpu-q-225
0,1000,1,2,0.458302336,0.727322,cpu-q-225
0,1000,1,-1,0.458217372,0.727457,cpu-q-225
0,2000,1,0,5.16212309,0.516583,cpu-q-225
0,2000,1,1,5.19889941,0.512929,cpu-q-225
0,2000,1,2,5.16027171,0.516769,cpu-q-225
0,2000,1,-1,5.16212309,0.516583,cpu-q-225
0,4000,1,0,65.9843444,0.323309,cpu-q-225
0,4000,1,1,67.9289559,0.314054,cpu-q-225
0,4000,1,2,66.4467134,0.321059,cpu-q-225
0,4000,1,-1,66.4467134,0.321059,cpu-q-225
