# cholesky_benchmark  CHOLESKY_VERSION=1
# hostname=cpu-q-210
# max_threads=1
# sizes=500,1000,2000,4000,8000
# threads=1
# repeats=3
version,n,threads,run,time_s,gflops,hostname
1,500,1,0,0.010989419,3.79153,cpu-q-210
1,500,1,1,0.011006226,3.78574,cpu-q-210
1,500,1,2,0.011072796,3.76298,cpu-q-210
1,500,1,-1,0.011006226,3.78574,cpu-q-210
1,1000,1,0,0.130617038,2.55199,cpu-q-210
1,1000,1,1,0.136292188,2.44573,cpu-q-210
1,1000,1,2,0.137093591,2.43143,cpu-q-210
1,1000,1,-1,0.136292188,2.44573,cpu-q-210
1,2000,1,0,3.12763032,0.852616,cpu-q-210
1,2000,1,1,3.14037588,0.849155,cpu-q-210
1,2000,1,2,3.13972488,0.849331,cpu-q-210
1,2000,1,-1,3.13972488,0.849331,cpu-q-210
1,4000,1,0,29.33356,0.727267,cpu-q-210
1,4000,1,1,29.2638639,0.728999,cpu-q-210
1,4000,1,2,29.1257735,0.732456,cpu-q-210
1,4000,1,-1,29.2638639,0.728999,cpu-q-210
1,8000,1,0,231.355936,0.73768,cpu-q-210
1,8000,1,1,232.493514,0.734071,cpu-q-210
1,8000,1,2,231.643752,0.736764,cpu-q-210
1,8000,1,-1,231.643752,0.736764,cpu-q-210
