# cholesky_benchmark  CHOLESKY_VERSION=3
# hostname=cpu-q-579
# max_threads=76
# sizes=500,1000,2000,4000,8000
# threads=1,2,4,8,16,32,48,64,76
# repeats=3
version,n,threads,run,time_s,gflops,hostname
3,500,1,0,0.01077241,3.86791,cpu-q-579
3,500,1,1,0.01075771,3.87319,cpu-q-579
3,500,1,2,0.01077463,3.86711,cpu-q-579
3,500,1,-1,0.01077241,3.86791,cpu-q-579
3,500,2,0,0.005523858,7.54304,cpu-q-579
3,500,2,1,0.005839648,7.13513,cpu-q-579
3,500,2,2,0.005537158,7.52492,cpu-q-579
3,500,2,-1,0.005537158,7.52492,cpu-q-579
3,500,4,0,0.00352984,11.8041,cpu-q-579
3,500,4,1,0.003741528,11.1363,cpu-q-579
3,500,4,2,0.003789516,10.9952,cpu-q-579
3,500,4,-1,0.003741528,11.1363,cpu-q-579
3,500,8,0,0.003156669,13.1996,cpu-q-579
3,500,8,1,0.003118068,13.363,cpu-q-579
3,500,8,2,0.003087333,13.496,cpu-q-579
3,500,8,-1,0.003118068,13.363,cpu-q-579
3,500,16,0,0.003516864,11.8477,cpu-q-579
3,500,16,1,0.003443251,12.101,cpu-q-579
3,500,16,2,0.003451513,12.072,cpu-q-579
3,500,16,-1,0.003451513,12.072,cpu-q-579
3,500,32,0,0.005322009,7.82912,cpu-q-579
3,500,32,1,0.005302129,7.85848,cpu-q-579
3,500,32,2,0.005288022,7.87944,cpu-q-579
3,500,32,-1,0.005302129,7.85848,cpu-q-579
3,500,48,0,0.006348114,6.56363,cpu-q-579
3,500,48,1,0.00637639401,6.53452,cpu-q-579
3,500,48,2,0.00634044,6.57157,cpu-q-579
3,500,48,-1,0.006348114,6.56363,cpu-q-579
3,500,64,0,0.00858017,4.85616,cpu-q-579
3,500,64,1,0.00859642999,4.84697,cpu-q-579
3,500,64,2,0.008534171,4.88233,cpu-q-579
3,500,64,-1,0.00858017,4.85616,cpu-q-579
3,500,76,0,0.010472227,3.97878,cpu-q-579
3,500,76,1,0.010750154,3.87591,cpu-q-579
3,500,76,2,0.010562601,3.94474,cpu-q-579
3,500,76,-1,0.010562601,3.94474,cpu-q-579
3,1000,1,0,0.108743264,3.06532,cpu-q-579
3,1000,1,1,0.108702418,3.06648,cpu-q-579
3,1000,1,2,0.108689367,3.06684,cpu-q-579
3,1000,1,-1,0.108702418,3.06648,cpu-q-579
3,1000,2,0,0.053815043,6.19405,cpu-q-579
3,1000,2,1,0.053964005,6.17696,cpu-q-579
3,1000,2,2,0.054340836,6.13412,cpu-q-579
3,1000,2,-1,0.053964005,6.17696,cpu-q-579
3,1000,4,0,0.024737937,13.4746,cpu-q-579
3,1000,4,1,0.024425109,13.6472,cpu-q-579
3,1000,4,2,0.02453483,13.5861,cpu-q-579
3,1000,4,-1,0.02453483,13.5861,cpu-q-579
3,1000,8,0,0.013232486,25.1905,cpu-q-579
3,1000,8,1,0.013469858,24.7466,cpu-q-579
3,1000,8,2,0.012828173,25.9845,cpu-q-579
3,1000,8,-1,0.013232486,25.1905,cpu-q-579
3,1000,16,0,0.012053509,27.6545,cpu-q-579
3,1000,16,1,0.011719226,28.4433,cpu-q-579
3,1000,16,2,0.01137898,29.2938,cpu-q-579
3,1000,16,-1,0.011719226,28.4433,cpu-q-579
3,1000,32,0,0.014441342,23.0819,cpu-q-579
3,1000,32,1,0.014413088,23.1271,cpu-q-579
3,1000,32,2,0.014339767,23.2454,cpu-q-579
3,1000,32,-1,0.014413088,23.1271,cpu-q-579
3,1000,48,0,0.014658907,22.7393,cpu-q-579
3,1000,48,1,0.014690877,22.6898,cpu-q-579
3,1000,48,2,0.01464236,22.765,cpu-q-579
3,1000,48,-1,0.014658907,22.7393,cpu-q-579
3,1000,64,0,0.016084282,20.7242,cpu-q-579
3,1000,64,1,0.016104921,20.6976,cpu-q-579
3,1000,64,2,0.016038334,20.7835,cpu-q-579
3,1000,64,-1,0.016084282,20.7242,cpu-q-579
3,1000,76,0,0.022670063,14.7037,cpu-q-579
3,1000,76,1,0.02274879,14.6528,cpu-q-579
3,1000,76,2,0.022669889,14.7038,cpu-q-579
3,1000,76,-1,0.022670063,14.7037,cpu-q-579
3,2000,1,0,0.848711126,3.14202,cpu-q-579
3,2000,1,1,0.848333779,3.14342,cpu-q-579
3,2000,1,2,0.84839912,3.14317,cpu-q-579
3,2000,1,-1,0.84839912,3.14317,cpu-q-579
3,2000,2,0,0.431359396,6.18201,cpu-q-579
3,2000,2,1,0.431877437,6.17459,cpu-q-579
3,2000,2,2,0.431437309,6.18089,cpu-q-579
3,2000,2,-1,0.431437309,6.18089,cpu-q-579
3,2000,4,0,0.217831606,12.2419,cpu-q-579
3,2000,4,1,0.217389084,12.2668,cpu-q-579
3,2000,4,2,0.21740527,12.2659,cpu-q-579
3,2000,4,-1,0.21740527,12.2659,cpu-q-579
3,2000,8,0,0.111558634,23.9037,cpu-q-579
3,2000,8,1,0.111309447,23.9572,cpu-q-579
3,2000,8,2,0.110500843,24.1325,cpu-q-579
3,2000,8,-1,0.111309447,23.9572,cpu-q-579
3,2000,16,0,0.069588676,38.3204,cpu-q-579
3,2000,16,1,0.067796431,39.3334,cpu-q-579
3,2000,16,2,0.068925607,38.6891,cpu-q-579
3,2000,16,-1,0.068925607,38.6891,cpu-q-579
3,2000,32,0,0.044580202,59.8173,cpu-q-579
3,2000,32,1,0.044519196,59.8993,cpu-q-579
3,2000,32,2,0.044577717,59.8206,cpu-q-579
3,2000,32,-1,0.044577717,59.8206,cpu-q-579
3,2000,48,0,0.046489853,57.3602,cpu-q-579
3,2000,48,1,0.046047327,57.9114,cpu-q-579
3,2000,48,2,0.046496546,57.3519,cpu-q-579
3,2000,48,-1,0.046489853,57.3602,cpu-q-579
