# job_id=26164912
# hostname=cpu-q-583
# git_hash=3557a61
# git_tags=
# compiler=gcc (Spack GCC) 11.2.0
# cmake_flags=-DCHOLESKY_VERSION=3 -DCMAKE_BUILD_TYPE=Release -DCMAKE_CXX_FLAGS=-march=icelake-server
# omp_proc_bind=close
# omp_places=cores
# timestamp=2026-03-25 22:49:15 GMT
# cholesky_benchmark  CHOLESKY_VERSION=3
# hostname=cpu-q-583
# max_threads=76
# sizes=2000,4000
# threads=1,32,48,64,76
# repeats=5
version,n,threads,run,time_s,gflops,hostname
3,2000,1,0,0.846271797,3.15108,cpu-q-583
3,2000,1,1,0.845984481,3.15215,cpu-q-583
3,2000,1,2,0.845903275,3.15245,cpu-q-583
3,2000,1,3,0.845968255,3.15221,cpu-q-583
3,2000,1,4,0.846146026,3.15154,cpu-q-583
3,2000,1,-1,0.845984481,3.15215,cpu-q-583
3,2000,32,0,0.0406150999,65.657,cpu-q-583
3,2000,32,1,0.041723017,63.9136,cpu-q-583
3,2000,32,2,0.041676907,63.9843,cpu-q-583
3,2000,32,3,0.0398058781,66.9918,cpu-q-583
3,2000,32,4,0.04078939,65.3765,cpu-q-583
3,2000,32,-1,0.04078939,65.3765,cpu-q-583
3,2000,48,0,0.053248129,50.08,cpu-q-583
3,2000,48,1,0.052951087,50.3609,cpu-q-583
3,2000,48,2,0.053332112,50.0011,cpu-q-583
3,2000,48,3,0.0531155689,50.205,cpu-q-583
3,2000,48,4,0.052872735,50.4356,cpu-q-583
3,2000,48,-1,0.0531155689,50.205,cpu-q-583
3,2000,64,0,0.051357261,51.9238,cpu-q-583
3,2000,64,1,0.0512467951,52.0358,cpu-q-583
3,2000,64,2,0.051390992,51.8898,cpu-q-583
3,2000,64,3,0.0513416311,51.9397,cpu-q-583
3,2000,64,4,0.0514025311,51.8781,cpu-q-583
3,2000,64,-1,0.051357261,51.9238,cpu-q-583
3,2000,76,0,0.048498443,54.9846,cpu-q-583
3,2000,76,1,0.048302955,55.2071,cpu-q-583
3,2000,76,2,0.0484172819,55.0768,cpu-q-583
3,2000,76,3,0.048679007,54.7806,cpu-q-583
3,2000,76,4,0.048279876,55.2335,cpu-q-583
3,2000,76,-1,0.0484172819,55.0768,cpu-q-583
3,4000,1,0,10.4608783,2.03934,cpu-q-583
3,4000,1,1,10.4945945,2.03279,cpu-q-583
3,4000,1,2,10.5017489,2.03141,cpu-q-583
3,4000,1,3,10.4749299,2.03661,cpu-q-583
3,4000,1,4,10.4691761,2.03773,cpu-q-583
3,4000,1,-1,10.4749299,2.03661,cpu-q-583
3,4000,32,0,0.412438671,51.7249,cpu-q-583
3,4000,32,1,0.413042577,51.6492,cpu-q-583
3,4000,32,2,0.408533476,52.2193,cpu-q-583
3,4000,32,3,0.411674228,51.8209,cpu-q-583
3,4000,32,4,0.411074531,51.8965,cpu-q-583
3,4000,32,-1,0.411674228,51.8209,cpu-q-583
3,4000,48,0,0.30112335,70.8458,cpu-q-583
3,4000,48,1,0.301899183,70.6638,cpu-q-583
3,4000,48,2,0.302104841,70.6157,cpu-q-583
3,4000,48,3,0.302673718,70.4829,cpu-q-583
3,4000,48,4,0.302403914,70.5458,cpu-q-583
3,4000,48,-1,0.302104841,70.6157,cpu-q-583
3,4000,64,0,0.236306448,90.2783,cpu-q-583
3,4000,64,1,0.235061493,90.7564,cpu-q-583
3,4000,64,2,0.234856165,90.8357,cpu-q-583
3,4000,64,3,0.238760509,89.3503,cpu-q-583
3,4000,64,4,0.235785782,90.4776,cpu-q-583
3,4000,64,-1,0.235785782,90.4776,cpu-q-583
3,4000,76,0,0.237629903,89.7755,cpu-q-583
3,4000,76,1,0.237112454,89.9714,cpu-q-583
3,4000,76,2,0.239525931,89.0648,cpu-q-583
3,4000,76,3,0.23596379,90.4094,cpu-q-583
3,4000,76,4,0.236795001,90.092,cpu-q-583
3,4000,76,-1,0.237112454,89.9714,cpu-q-583
